wav_file,json_decibel,wav_peak_spl,wav_rms_spl,json_direction,wav_predicted_direction,spl_difference_peak,spl_difference_rms,match_direction
1.자동차_1515_1.wav,102.0,87.7,72.0,우,중앙,14.3,30.0,False
1.자동차_1517_1.wav,70.0,85.4,65.8,우,중앙,15.4,4.2,False
1.자동차_1519_1.wav,76.0,86.6,70.2,우,좌,10.6,5.8,False
1.자동차_151_1.wav,119.0,91.2,78.4,좌,중앙,27.8,40.6,False
1.자동차_1521_1.wav,113.0,90.0,74.5,좌,중앙,23.0,38.5,False
1.자동차_1522_1.wav,118.0,90.7,74.5,우,좌,27.3,43.5,False
1.자동차_1527_1.wav,69.0,84.7,70.3,우,중앙,15.7,1.3,False
1.자동차_1528_1.wav,76.0,87.6,70.4,우,중앙,11.6,5.6,False
1.자동차_1529_1.wav,103.0,90.2,73.0,우,중앙,12.8,30.0,False
1.자동차_1530_1.wav,93.0,88.7,72.5,좌,중앙,4.3,20.5,False
1.자동차_1531_1.wav,74.0,83.6,69.5,우,중앙,9.6,4.5,False
1.자동차_1534_1.wav,107.0,91.4,71.5,우,중앙,15.6,35.5,False
1.자동차_1536_1.wav,87.0,88.7,72.7,우,중앙,1.7,14.3,False
1.자동차_153_1.wav,70.0,89.8,74.6,우,우,19.8,4.6,True
1.자동차_1541_1.wav,68.0,85.9,71.2,우,중앙,17.9,3.2,False
1.자동차_1542_1.wav,89.0,87.3,69.4,우,중앙,1.7,19.6,False
1.자동차_1543_1.wav,104.0,93.2,72.4,우,중앙,10.8,31.6,False
1.자동차_1546_1.wav,72.0,85.0,69.5,우,중앙,13.0,2.5,False
1.자동차_1547_1.wav,68.0,82.2,67.3,우,중앙,14.2,0.7,False
1.자동차_1549_1.wav,78.0,87.7,70.2,우,중앙,9.7,7.8,False
1.자동차_1552_1.wav,72.0,85.7,63.7,우,중앙,13.7,8.3,False
1.자동차_1553_1.wav,73.0,91.0,71.8,좌,중앙,18.0,1.2,False
1.자동차_1554_1.wav,94.0,87.1,72.5,우,중앙,6.9,21.5,False
